"Date","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"Starke","IN",,930,95900,-0.00621761658031088,-0.0143884892086331,0.0169671261930011,-0.000416580023807622,-0.00575711923319422,"2006-10","2006-Q4",104800,-0.0849236641221374,"2004-02"
2014-11-30,"Teller","CO","Colorado Springs",931,220500,0.00272851296043656,0.0194174757281553,0.0970149253731343,0.0369680436864233,0.0206148678388249,"2014-11","2014-Q4",220500,0,"2014-11"
2014-11-30,"Burke","GA","Augusta",932,49100,0.0123711340206186,0.0673913043478261,0.0380549682875264,-0.024908749811423,0.0143017839044344,"2003-08","2003-Q3",64400,-0.237577639751553,"2002-09"
2014-11-30,"Franklin","IN","Cincinnati",933,122900,0,-0.0048582995951417,0.0131904369332234,0.00328684164708015,0,"2014-04","2014-Q2",129900,-0.0538876058506544,"2014-01"
2014-11-30,"Elbert","CO","Denver",934,324300,0.00620539869686627,0.0105952009971954,0.0525803310613437,0.0423181699216302,0.00523553696472434,"2007-01","2007-Q1",327500,-0.00977099236641221,"2006-09"
2014-11-30,"Logan","CO","Sterling",935,108500,0.00556070435588508,0.0187793427230047,0.0074280408542247,0.0201490984085573,0.0189831549582244,"2014-03","2014-Q1",109400,-0.00822669104204753,"2014-01"
2014-11-30,"Fairfax City","VA","Washington",936,464200,0.00151024811218986,0.00151024811218986,0.0310972900932919,0.0468034991677719,0.00520863019364892,"2006-05","2006-Q2",511100,-0.0917628644100959,"2005-03"
2014-11-30,"Jerome","ID","Twin Falls",937,126500,-0.00393700787401575,0.0144346431435445,-0.0231660231660232,0.00158857036235349,,"2006-11","2006-Q4",156500,-0.191693290734824,
2014-11-30,"Hood River","OR","Hood River",938,336600,-0.00148323939483833,0.0102040816326531,0.0147723846849563,0.0232896261539237,0.0385453866176431,"2014-10","2014-Q4",337100,-0.00148323939483833,"2014-09"
2014-11-30,"Dawson","GA","Atlanta",939,195900,0.000510725229826353,0,-0.0130982367758186,-0.00303495735924142,0.00694517321921007,"2007-08","2007-Q3",211000,-0.071563981042654,"2005-08"
2014-11-30,"Macon","TN","Nashville",940,91000,0.0144927536231884,0.0329171396140749,0.127633209417596,0.0268727145225303,0.0196613492195172,"2014-11","2014-Q4",91000,0,"2014-11"
2014-11-30,"Overton","TN","Cookeville",941,80500,0.0151324085750315,0.0333761232349166,0.158273381294964,0.0446680678976152,0.0444696280026893,"2014-11","2014-Q4",80500,0,"2014-11"
2014-11-30,"Morgan","TN",,942,96100,0.0147835269271383,0.0642303433001107,0.272847682119205,0.0530861389322421,0.0368829351534834,"2014-11","2014-Q4",96100,0,"2014-11"
2014-11-30,"McDuffie","GA","Augusta",943,76100,0,0,0.070323488045007,-0.0239359920705492,0.00569334585399051,"2009-10","2009-Q4",86400,-0.119212962962963,"2008-12"
2014-11-30,"Dodge","GA",,944,85100,0.00829383886255924,0.0416156670746634,0.0610972568578554,0.00843492995765893,0.0143488001586438,"2009-02","2009-Q1",105000,-0.18952380952381,"2005-04"
2014-11-30,"Asotin","WA","Lewiston",945,157900,0.00637348629700446,0.0128287363694676,0.0450033090668432,-0.0119707234261377,0.0160935791781012,"2009-07","2009-Q3",178800,-0.116890380313199,"2007-08"
2014-11-30,"Owen","IN","Bloomington",946,87200,-0.0011454753722795,0.00114810562571757,0.0319526627218935,0.00254220984549569,-0.00956831561024651,"2005-08","2005-Q3",98200,-0.112016293279022,"2004-06"
2014-11-30,"Sullivan","IN","Terre Haute",947,69300,0.00289435600578871,0.00144508670520231,0.0628834355828221,0.0141452090235195,,"2005-07","2005-Q3",83000,-0.165060240963855,
2014-11-30,"Union","GA",,948,170600,-0.00292226767971946,0.00293944738389183,0.0907928388746803,0.0079222577699769,0.00643540076106097,"2006-10","2006-Q4",206900,-0.175447075882069,"2005-04"
2014-11-30,"Jay","IN",,949,71200,0.0099290780141844,0.0215208034433286,0.0626865671641791,0.034822227649,-0.0146225837493491,"2005-12","2005-Q4",86200,-0.174013921113689,"2001-08"
2014-11-30,"Spencer","IN",,950,96000,0.00208768267223382,0.0245464247598719,0.0105263157894737,0.025120872198527,-0.00427284502895287,"2005-07","2005-Q3",102100,-0.059745347698335,"2004-09"
2014-11-30,"Fulton","IN",,951,84900,0.00473372781065089,0.031591737545565,-0.00468933177022274,0.0248340601107158,-0.0137425258206353,"2005-12","2005-Q4",98600,-0.13894523326572,"2003-10"
