"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Greenville, SC","SC",83,1201,-0.011522633744856,-0.0219869706840391,0.0300171526586621,179211
2014-11-30,"Wichita, KS","KS",84,1050,0.00382409177820268,0.00574712643678161,0.0194174757281553,182134
2014-11-30,"Fort Myers, FL","FL",85,1631,0.00928217821782178,0.0206508135168961,0.164168451106353,290968
2014-11-30,"Boise City, ID","ID",86,1089,0.00183992640294388,0.00740055504162812,0.0655577299412916,180112
2014-11-30,"Lakeland, FL","FL",87,1125,0.00806451612903226,0.0180995475113122,0.0283363802559415,168501
2014-11-30,"Des Moines, IA","IA",88,1252,0,0.0170593013809911,0.0529857022708158,185109
2014-11-30,"Madison, WI","WI",89,1381,0.00072463768115942,0.00729394602479942,0.0590490797546012,187979
2014-11-30,"Youngstown, OH","OH",90,785,0.0155239327296248,-0.0576230492196879,-0.0332512315270936,196902
2014-11-30,"Scranton, PA","PA",91,1033,-0.00481695568400771,0.0782881002087683,0.176537585421412,172517
2014-11-30,"Augusta, GA","GA",92,874,0.0011454753722795,-0.00342075256556442,0.0222222222222222,210313
2014-11-30,"Harrisburg, PA","PA",93,1215,-0.00572831423895254,-0.000822368421052632,0.0366894197952218,167369
2014-11-30,"Ogden, UT","UT",94,1248,-0.000800640512409928,-0.00239808153477218,-0.0280373831775701,152025
2014-11-30,"Melbourne, FL","FL",95,1193,0.00675105485232068,0.0222793487574979,0.0595026642984014,209995
2014-11-30,"Jackson, MS","MS",96,1087,0.0102230483271375,0.0382043935052531,0.0235404896421846,155433
2014-11-30,"Chattanooga, TN","TN",97,1089,0.0130232558139535,0.03125,0.0361560418648906,172065
2014-11-30,"Provo, UT","UT",98,1329,0.00529500756429652,0.0114155251141552,-0.0486757337151038,125921
2014-11-30,"Lancaster, PA","PA",99,1110,-0.00269541778975741,0.0109289617486339,0.0383536014967259,134827
2014-11-30,"Modesto, CA","CA",100,1206,0.005,0.0125944584382872,0.0396551724137931,120505
