"RegionName","City","State","Metro","CountyName","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Glenrose Heights","Atlanta","GA","Atlanta","Fulton",19.697,31.0345,32,21.4286,17.7419,21.6667,28.3019,35.1852,28.125,28.169,33.3333,26.5625,34.9206,30.1205,24.1379,25.8621,19.2308,19.2308,19.2308,18.1818,13.1579,16.0714,14.5455,16.9492,22.9167,23.2558,16.2162,15.5556,23.0769,17.5,31.0345,34.7826,25,27.7778,25,22.2222,25,26.3158,26.3158,20,26.6667,33.3333,26.6667,35.2941,50,54.5455,17.6471,18.75,22.2222,15.7895,20.8333,18.5185,18.1818,27.5862,28.5714
"Southwest Garden","Saint Louis","MO","St. Louis","Saint Louis City",69.2308,69.4915,61.194,59.7015,68.6567,67.6471,58.3333,52.8302,51.0204,46.6667,47.2727,44.2857,50,49.1803,56.6667,51.8519,55.7692,62.5,57.4468,54.7619,36.8421,35.7143,44.186,58.9744,52.381,63.6364,55.5556,50,53.3333,55.2632,55.814,42.8571,27.2727,42.4242,52.5,54.1667,61.2245,61.7021,54,62.5,48.0769,52.9412,41.8182,46.3415,42.8571,30.7692,40.5405,14,43.1373,63.6364,66.6667,75,61.7647,51.4286,48.5714
"Downtown","Washington","DC","Washington","District of Columbia",39.3939,44.4444,46.1538,44.4444,50,50,52.7778,50,45.7143,40,45.7143,45.7143,42.3077,24.1379,28.5714,13.7931,39.2857,46.1538,48.2759,51.8519,33.3333,30,25.9259,27.5862,32,29.1667,31.5789,37.5,46.6667,61.5385,53.8462,45.4545,,,18.75,23.8095,25,4.3478,7.6923,15,17.6471,23.5294,31.25,20,12.5,18.1818,13.3333,10,26.6667,22.7273,13.0435,10,,26.087,38.8889
"Indianola Terrace","Columbus","OH","Columbus","Franklin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,
"Arlington Manor","Jacksonville","FL","Jacksonville","Duval",40,44.4444,42,47.2727,47.2727,49.0566,49.0909,38.1818,49.1228,58.4906,59.1837,54.3478,38.6364,51.3514,51.4286,30.2326,36.5854,38.2979,44.6809,38.2979,45.6522,47.619,44.7368,41.1765,40.625,44.4444,48.2759,33.3333,47.619,50,34.6154,41.6667,35.2941,36.8421,50,40,35,31.8182,36.8421,21.7391,25,47.0588,42.8571,40,39.1304,36,46.6667,28.5714,43.3333,50,55.5556,36,34.7826,42.8571,53.8462
"Lindbergh","Atlanta","GA","Atlanta","Fulton",22.5,34.6154,28.5714,28.8889,29.3103,35.5556,35.2941,44.1176,48.3871,29.0323,29.0323,34.6154,35,38.8889,29.4118,25,45,38.8889,30,29.4118,21.0526,18.1818,14.2857,15,21.0526,16.6667,,17.6471,33.3333,28.5714,21.0526,16.6667,31.5789,28.5714,30.4348,31.5789,25,31.8182,40,40,66.6667,53.8462,26.3158,16.6667,16.6667,20.8333,9.375,7.1429,14.2857,23.5294,20,24.2424,17.6471,14.8148,22.2222
"Columbus Park","Milwaukee","WI","Milwaukee","Milwaukee",31.5789,43.75,45,54.1667,50,38.0952,38.4615,48.1481,44,41.6667,39.3939,48.1481,59.0909,48,38.4615,39.1304,30.7692,33.3333,34.6154,42.8571,52.6316,50,58.8235,36.8421,40.7407,44.4444,50,47.8261,50,50,46.1538,40,47.3684,36.8421,42.1053,44.4444,30,47.3684,50,50,56.25,53.3333,26.3158,33.3333,25,50,57.1429,7.6923,,8.3333,18.1818,30.7692,21.4286,23.0769,18.1818
"Freestate, North Hightlands","Shreveport","LA","Shreveport","Caddo",12.9032,25,46.1538,37.5,26.3158,27.027,20,28.2051,41.4634,47.3684,38.6364,45.7143,44.8276,35.4839,32.3529,45.7143,56.6667,38.8889,48.5714,51.5152,54.0541,57.8947,50,39.2857,30.4348,31.25,40.7407,52,54.5455,47.619,33.3333,35,43.75,37.5,29.1667,27.2727,15.7895,14.2857,12.5,18.75,16.6667,14.2857,26.3158,28,29.6296,38.4615,47.8261,5.5556,19.2308,20.6897,38.4615,44.4444,52.1739,59.0909,36.8421
"Deering Center","Portland","ME","Portland","Cumberland",41.1765,46.6667,35.2941,56.25,46.6667,53.3333,46.1538,15.3846,50,,16.6667,23.5294,27.7778,26.087,40,50,42.8571,41.1765,40,46.1538,50,50,27.2727,33.3333,23.5294,30,54.5455,,58.3333,50,58.3333,58.3333,45.4545,45.4545,50,35.2941,29.4118,33.3333,33.3333,46.1538,40,45,50,58.8235,50,46.6667,,14.2857,21.4286,28.5714,43.75,52.9412,57.1429,,
"Mid-Town Belvedere","Baltimore","MD","Baltimore","Baltimore City",28.5714,37.5,48.6486,51.6129,35.7143,40,34.1463,33.3333,43.4783,42.2222,31.25,41.0256,31.0345,37.5,40,29.4118,18.1818,20,35.2941,47.0588,31.25,33.3333,33.3333,41.1765,28.5714,34.7826,23.0769,28.5714,19.2308,11.5385,26.3158,19.2308,45.8333,52.6316,56.25,30.7692,18.75,23.5294,43.75,22.2222,38.0952,57.1429,41.6667,34.6154,29.6296,26.087,25,11.5385,20,37.931,46.4286,45,37.5,37.037,26.9231
