"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Neighborhood","Gateway - Green Valley Ranch","CO","Denver-Aurora, CO",1067,20,1,20.2899,55,3.26086956521739,0.316455696202532
"Neighborhood","Harvey Park","CO","Denver-Aurora, CO",3680,20,1.0035,27.2727,46,1.08695652173913,0.316455696202532
"Neighborhood","Cheesman Park","CO","Denver-Aurora, CO",4775,20,0.9912,19.5652,65,4.56521739130435,0.316455696202532
"Neighborhood","Windsor","CO","Denver-Aurora, CO",3547,20,0.9893,22.6415,46,2.60869565217391,0.316455696202532
"Neighborhood","North Park Hill","CO","Denver-Aurora, CO",4441,20,0.9873,23.4375,60,5.8695652173913,0.316455696202532
"Neighborhood","Village East","CO","Denver-Aurora, CO",4593,20,0.9934,33.3333,47.5,3.47826086956522,0.316455696202532
"Neighborhood","Hilltop","CO","Denver-Aurora, CO",4675,20,0.9697,41.2698,61,9.78260869565217,0.316455696202532
"Neighborhood","Montbello","CO","Denver-Aurora, CO",753,20,1,6.25,59,1.52173913043478,0.316455696202532
"Neighborhood","South Park Hill","CO","Denver-Aurora, CO",4609,20,0.9926,48.8372,55.5,7.82608695652174,0.316455696202532
"Neighborhood","Athmar Park","CO","Denver-Aurora, CO",4470,20,0.9988,6.25,47,0.217391304347826,0.316455696202532
"Neighborhood","Marston","CO","Denver-Aurora, CO",3781,20,0.9965,21.875,49,1.73913043478261,0.316455696202532
"Neighborhood","Hampden South","CO","Denver-Aurora, CO",2905,20,0.9828,29.1667,54,7.60869565217391,0.316455696202532
"Neighborhood","Carriage Place","CO","Denver-Aurora, CO",4766,20,0.9938,18.9189,44,0.652173913043478,0.316455696202532
"Neighborhood","University Hills","CO","Denver-Aurora, CO",5216,20,0.9898,34.8837,52,5.65217391304348,0.316455696202532
"Neighborhood","Congress Park","CO","Denver-Aurora, CO",4127,20,0.9864,37.5,50.5,6.30434782608696,0.316455696202532
"Neighborhood","Belcaro","CO","Denver-Aurora, CO",5357,20,0.9676,36.7347,67,9.56521739130435,0.316455696202532
"Neighborhood","Virginia Village","CO","Denver-Aurora, CO",3403,20,0.9912,25,46,2.17391304347826,0.316455696202532
"Neighborhood","Washington Park West","CO","Denver-Aurora, CO",5102,20,0.9986,41.791,56,6.08695652173913,0.316455696202532
"Neighborhood","Berkeley","CO","Denver-Aurora, CO",4685,20,0.979,28.8136,56,8.26086956521739,0.316455696202532
"Neighborhood","Cory - Merrill","CO","Denver-Aurora, CO",5378,20,0.956989247311828,37.7778,68,10,0.316455696202532
"Neighborhood","Aurora Highlands","CO","Denver-Aurora, CO",3820,20,1.0063,14.7541,51.5,0.869565217391304,0.316455696202532
"Neighborhood","Side Creek","CO","Denver-Aurora, CO",5196,20,1.0004,30.7692,47,1.30434782608696,0.316455696202532
"Neighborhood","Sunnyside","CO","Denver-Aurora, CO",4330,20,0.9932,36.5385,48.5,4.1304347826087,0.316455696202532
"Neighborhood","Stapleton","CO","Denver-Aurora, CO",5392,20,0.9883,26.3804,60,6.52173913043478,0.316455696202532
"Neighborhood","Aurora Knolls - Hutchinson Heights","CO","Denver-Aurora, CO",5019,20,0.9866,20,43,2.39130434782609,0.316455696202532
"Neighborhood","Sloan Lake","CO","Denver-Aurora, CO",4936,20,0.9817,45,59,9.34782608695652,0.316455696202532
"Neighborhood","East Colfax","CO","Denver-Aurora, CO",4092,20,0.998,29.4118,53,3.91304347826087,0.316455696202532
"Neighborhood","Westwood","CO","Denver-Aurora, CO",2636,20,0.993039443155452,25.7143,63,5.21739130434783,0.316455696202532
"Neighborhood","Lowry Field","CO","Denver-Aurora, CO",4706,20,0.9887,40.678,53,7.39130434782609,0.316455696202532
"Neighborhood","Aurora Hills","CO","Denver-Aurora, CO",5057,20,1.0218,16,48.5,0.434782608695652,0.316455696202532
"Neighborhood","West Highland","CO","Denver-Aurora, CO",4547,20,0.9871,39.0805,54,8.04347826086956,0.316455696202532
"Neighborhood","Speer","CO","Denver-Aurora, CO",3895,20,0.9856,36.8421,51,6.73913043478261,0.316455696202532
"Neighborhood","Washington Park","CO","Denver-Aurora, CO",4989,20,0.9775,33.7838,78,8.91304347826087,0.316455696202532
"Neighborhood","Cherry Creek","CO","Denver-Aurora, CO",5227,20,0.9701,32.1739,81,8.69565217391304,0.316455696202532
"Neighborhood","Northeast Park Hill","CO","Denver-Aurora, CO",4786,20,1,23.8095,53,3.04347826086957,0.316455696202532
"Neighborhood","Union Station","CO","Denver-Aurora, CO",5353,20,0.9854,43.4783,70.5,9.1304347826087,0.316455696202532
"Neighborhood","Washington Virginia Vale","CO","Denver-Aurora, CO",3328,20,0.9847,26.9841,50.5,5,0.316455696202532
"Neighborhood","Hampden","CO","Denver-Aurora, CO",1832,20,0.9913,18.8119,52,2.82608695652174,0.316455696202532
"Neighborhood","Kyle Canyon","NV","Las Vegas-Paradise, NV",3709,27,0.9904,33.6134,80,3.79310344827586,1.45569620253165
"Neighborhood","Desert Shores","NV","Las Vegas-Paradise, NV",2651,27,0.9788,34.7826,87.5,7.93103448275862,1.45569620253165
"Neighborhood","Michael Way","NV","Las Vegas-Paradise, NV",605,27,0.9835,33.8323,97,7.58620689655172,1.45569620253165
"Neighborhood","Rancho Charleston","NV","Las Vegas-Paradise, NV",887,27,0.9828,29.5,89,5.86206896551724,1.45569620253165
"Neighborhood","Sunrise Manor","NV","Las Vegas-Paradise, NV",82,27,1,27.9359,95,2.41379310344828,1.45569620253165
"Neighborhood","Centennial Hills","NV","Las Vegas-Paradise, NV",594,27,0.9819,31.484,74.5,4.13793103448276,1.45569620253165
"Neighborhood","North Cheyenne","NV","Las Vegas-Paradise, NV",793,27,0.9922,30.198,89,3.44827586206897,1.45569620253165
"Neighborhood","Huntridge","NV","Las Vegas-Paradise, NV",2469,27,0.9774,19.3277,74.5,2.75862068965517,1.45569620253165
"Neighborhood","Paradise","NV","Las Vegas-Paradise, NV",60,27,0.992,29.1262,80,1.37931034482759,1.45569620253165
"Neighborhood","Anthem","NV","Las Vegas-Paradise, NV",1582,27,0.9794,42.0195,94,9.31034482758621,1.45569620253165
"Neighborhood","Valley View","NV","Las Vegas-Paradise, NV",3107,27,0.9975,17.0732,63,0.344827586206897,1.45569620253165
"Neighborhood","Sun City Summerlin","NV","Las Vegas-Paradise, NV",3552,27,0.9686,45,99,10,1.45569620253165
"Neighborhood","The Strip","NV","Las Vegas-Paradise, NV",5424,27,0.9375,23.8095,73,4.48275862068965,1.45569620253165
"Neighborhood","Summerlin South","NV","Las Vegas-Paradise, NV",1017,27,0.974,37.3563,75,6.89655172413793,1.45569620253165
"Neighborhood","Pioneer Park","NV","Las Vegas-Paradise, NV",2851,27,0.9836,31.9249,61,1.72413793103448,1.45569620253165
"Neighborhood","East Las Vegas","NV","Las Vegas-Paradise, NV",927,27,0.9884,36.6906,76,5.17241379310345,1.45569620253165
"Neighborhood","Green Valley North","NV","Las Vegas-Paradise, NV",815,27,0.9854,33.427,81,5.51724137931035,1.45569620253165
"Neighborhood","Winchester","NV","Las Vegas-Paradise, NV",1267,27,0.9627,29.6748,103,8.96551724137931,1.45569620253165
"Neighborhood","The Lakes","NV","Las Vegas-Paradise, NV",1026,27,0.9762,33.7176,89.5,8.62068965517241,1.45569620253165
"Neighborhood","Lone Mountain","NV","Las Vegas-Paradise, NV",582,27,0.9878,39.0424,71.5,4.82758620689655,1.45569620253165
"Neighborhood","Summerlin North","NV","Las Vegas-Paradise, NV",641,27,0.9826,37.084,76,6.20689655172414,1.45569620253165
"Neighborhood","Tule Springs","NV","Las Vegas-Paradise, NV",1971,27,0.9811,40.0901,104.5,9.6551724137931,1.45569620253165
"Neighborhood","Spring Valley","NV","Las Vegas-Paradise, NV",88,27,0.9803,31.1097,71.5,3.10344827586207,1.45569620253165
