"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Neighborhood","Fairmount-Spring Garden","Philadelphia","PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,7.41295724988982,83.5952,5.2665,2.4111,318100,0.283732660781841,2.48067010309278,0.0193524049041183,33.9,,,119
"Neighborhood","Fairmuont","Newark","NJ","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,5.79550462758925,,,,191800,0.313807531380753,12.2950819672131,0.018837330552659,111.9,,,196
"Neighborhood","Fairview","Milwaukee","WI","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI",,1.89731159100926,,,4.7259,109400,-0.545454545454546,-4.03508771929825,-0.0141681901279708,80.6,,,113
"Neighborhood","Fairway 164th","Vancouver","WA","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",,4.7576024680476,,,,301200,0.33311125916056,3.540735647989,0.0430378486055778,26,,,68
"Neighborhood","Fairway Park","Hayward","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,6.55795504627589,,,,477400,0.399579390115668,13.5855341422793,0.042073732718894,45.5,,,62
"Neighborhood","Family Acres","Lincoln","NE","Lincoln, NE","Lincoln, NE",,7.55178492728074,86.6433,,,249300,0.321931589537223,9.96912218791354,0.0468632170076213,31.9,,,74.5
"Neighborhood","Far West-Side","Syracuse","NY","Syracuse, NY","Syracuse, NY",,3.17761128250331,,,,72100,-0.414364640883978,-0.68870523415978,-0.00396671289875172,13.8,,,134.5
"Neighborhood","Farm Pond","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,6.98104892022918,,,7.9105,99100,0.711382113821138,10.1111111111111,0.0390514631685166,91.6,,,89
"Neighborhood","Federal Hill","Baltimore","MD","Baltimore, MD","Baltimore-Towson, MD",,1.76068752754517,,,,327300,-0.122062862374123,0.676714856967087,0.000546898869538737,40.7,,,116
"Neighborhood","Feldman's","Tucson","AZ","Tucson, AZ","Tucson, AZ",,2.73909211106214,,,41.7188,192400,0,0.944386149003148,0.0235706860706861,44.1,,,85
"Neighborhood","Fircrest","Vancouver","WA","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",,7.54517408550022,,,3.7641,185600,0.378583017847485,10.4104699583581,0.0611691810344828,49.7,,,68
"Neighborhood","Firestone-Garden Park","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,4.6253856324372,,,5.5249,73200,0,9.58083832335329,0.026844262295082,87.8,,,89
"Neighborhood","First Ward","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,9.31908329660643,,,,216500,0.979477611940299,10.4028556858746,0.0412748267898384,39.9,,,89
"Neighborhood","Fisher","Mobile","AL","Mobile, AL","Mobile, AL",,1.35522256500661,,,8.2931,34100,-0.292397660818713,-14.9625935162095,-0.0134017595307918,95.2,,,126
"Neighborhood","Fishers Creek","Vancouver","WA","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",,3.60731599823711,,,,293700,0.0340599455040872,4.48239060832444,0.0405243445692884,37.6,,,68
"Neighborhood","Fishers Landing East","Vancouver","WA","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",,1.99427060379022,76.9886,,23.5863,257400,0.116686114352392,4.76190476190476,0.0426340326340326,59.4,,,68
"Neighborhood","Five Points","Toledo","OH","Toledo, OH","Toledo, OH",,2.08902600264434,,,12.0908,52400,-0.380228136882129,5.22088353413655,0.0201717557251908,123.4,,,95
"Neighborhood","Folwell","Minneapolis","MN","Minneapolis-St Paul, MN","Minneapolis-St. Paul-Bloomington, MN-WI",,0.471573380343764,,30.3933,18.1943,90100,0,3.68239355581128,0.0117203107658157,208.1,,,88
"Neighborhood","Foothills","Henderson","NV","Las Vegas, NV","Las Vegas-Paradise, NV",,4.36756280299691,70.9015,18.8187,12.8183,225400,0.625,13.8959070237494,0.0577373558118899,93.6,,,100.5
"Neighborhood","Forest Highland","Mobile","AL","Mobile, AL","Mobile, AL",,4.19568091670339,,,35.4119,75000,1.07816711590297,2.73972602739726,0.02312,120.1,,,126
"Neighborhood","Forest Hill Terrace","Richmond","VA","Richmond, VA","Richmond, VA",,9.62318201851036,,,,201000,0.449775112443778,9.89611809732094,0.0487562189054727,15.1,,,90
"Neighborhood","Forest Hills","Cleveland","OH","Cleveland, OH","Cleveland-Elyria-Mentor, OH",,0.418686646099603,,,6.0715,38200,-3.53535353535354,-4.26065162907268,-0.00856020942408375,167.2,,,98
"Neighborhood","Forest Hills","Tampa","FL","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",,9.43146760687527,,,,122100,1.58069883527454,14.0056022408964,0.0412039312039312,111.9,,,96.5
"Neighborhood","Forest Hills","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,8.27016306743059,89.9532,,,729600,0.109769484083425,7.10510863182619,0.0209635416666667,16.3,,,179
"Neighborhood","Forest Ridge-Quail Hollow","Dayton","OH","Dayton, OH","Dayton, OH",,2.98369325694138,,,23.1482,134600,-0.517368810051737,2.0470053070508,0.0226820208023775,29.9,,,119.5
"Neighborhood","Forrest Hills","Augusta","GA","Augusta, GA","Augusta-Richmond County, GA-SC",,3.06302335830762,,,,181300,0.332042058660764,0.498891352549889,0.0237175951461666,35.9,,,107.5
"Neighborhood","Fort Greene","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,9.88100484795064,,,,923600,1.24972593729445,19.3898655635988,0.0496351234300563,26.4,,,157
"Neighborhood","Four Corners","Nashville","TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",,4.7906566769502,,,,150700,1.00536193029491,11.8782479584261,0.0366357000663571,245.8,,,72
"Neighborhood","Foxcroft","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,8.82547377699427,,,,758900,0.583167660702452,9.82633863965268,0.0367057583344315,25.8,,,89
"Neighborhood","Foxhill","Hampton","VA","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC",,5.60819744380785,80.641,,,170600,0.412007062978222,7.36312146003776,0.026242672919109,3.9,,,104
"Neighborhood","Franklin Park","Trenton","NJ","Trenton, NJ","Trenton-Ewing, NJ",,2.3843102688409,,,,85000,0.117785630153121,10.1036269430052,0.0152705882352941,54.1,,,118
"Neighborhood","Franklin Park","Toledo","OH","Toledo, OH","Toledo, OH",,5.61480828558836,,,3.8006,95800,0.31413612565445,4.81400437636762,0.0151043841336116,53.4,,,95
"Neighborhood","Freedom Park","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,9.85015425297488,,,,452900,0.778816199376947,13.3383383383383,0.0591190108191655,16.4,,,89
"Neighborhood","Fremont","Oakland","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,6.35081533715293,,,,312900,0.935483870967742,15.0790731886723,0.0602364972834772,111.9,,,48
"Neighborhood","Fremont Park","Glendale","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,4.34993389158219,,,,361100,0.0831485587583149,8.17855002995806,0.0241622819163667,31.1,,,63
"Neighborhood","Fresno High Roeding","Fresno","CA","Fresno, CA","Fresno, CA",,7.75011018069634,86.3965,10.9136,5.0423,132900,0.758150113722517,8.84520884520884,0.052979683972912,72.5,,,74
"Neighborhood","Fuller Tangletown","Minneapolis","MN","Minneapolis-St Paul, MN","Minneapolis-St. Paul-Bloomington, MN-WI",,1.82018510356985,,,,375400,0,3.2169370360187,0.00757059136920613,53.3,,,88
