"RegionName","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Tennessee",32.5649844939385,37.368842255024,37.4895480350305,38.3937800548289,34.6024445778628,32.9517839703845,30.0081690886288,27.9713263381848,28.3618733492876,25.716057606174,23.3856646366043,29.1210142659093,32.162437022923,33.3146299010626,34.9907962153099,30.9140910582723,33.9200732521294,32.4241611392898,28.4885241410229,28.8008420825348,27.5064372979784,30.4592301759798,28.973453193789,30.2682043007908,31.8627788251159,34.3359530373479,33.7635945733826,33.3463747257814,30.8843054514861,30.69900957771,27.697432882618,27.0182204086513,27.4404090649282,26.1876747704108,29.5324733427783,28.7923899127638,28.7364327587207,30.6007383053584,30.4194918830712,33.0995208996758,33.1377357388918,33.2496387019546,30.7497703555348,28.5251607289602,27.1585302518826,26.1230805456043,27.3122183680746,11.3762866946244,20.9861645104257,27.465388557652,32.4798942691637,33.9514492856433,33.3784866360789,33.5013111055769,31.547222437437
"Missouri",36.0130981021117,41.3045742255753,43.5235620112262,44.2787348932887,39.6346738512494,38.7390670553935,35.7096522234136,32.874611455723,32.0665518895882,29.5973364989698,27.0123858694269,32.6172736785043,36.724335534574,38.0157455435898,40.2778344139515,36.2022421107225,38.4933707222781,35.8503307607497,33.7323903658259,31.5463382624486,28.6838373210119,31.6526610644257,30.9246252986749,33.1550481669588,33.7530065029545,37.1910354156419,36.1795509641436,36.0882329604062,35.9523230357577,35.1896569071335,30.8845991355497,30.0309946463792,29.5917775931686,28.2558094425262,31.5716324148027,30.2944195937522,30.8929650563435,32.9102761399201,34.109332779048,36.3589301121656,37.2331058771736,37.1073684964115,33.8745332615035,31.4354204228814,29.9633348610474,28.5350072842574,29.5767353849218,12.263574220559,23.3077272192432,31.0845837814963,36.4532104412422,37.8663741386993,38.3147711858356,38.6540277475121,35.8406054521584
"Maryland",35.675986536087,41.4472997878777,43.7299256282097,44.1229982166339,40.3505200115369,39.3780646982043,36.4975809998533,34.8089887640449,35.1828714220808,31.1894782483017,28.3491271820448,35.4653621935744,37.4198899193244,37.2688452212933,39.9377927816868,32.3009611740793,38.7486589883205,38.0870208307654,35.6489753021544,33.3169434324922,30.6383483626008,32.4957481974752,30.1446909876924,31.6026250492776,33.164943049135,35.1620651114123,33.8364441400229,34.2312463606673,34.7362119674136,34.2534837425348,31.8644525448899,29.9829538536466,28.8315054205253,26.6425277751988,30.1035740335521,28.6236891309649,28.92577056356,31.3000025891308,32.3025923911635,33.8922276652694,36.0872420776093,37.6213206046141,34.0916971167951,31.3951831266923,32.5744203440538,30.9586791936513,31.0938869412795,15.2643424959295,27.275343709181,34.3980929678188,40.6690971477589,41.9658877191465,41.6087221393609,42.8941786471835,40.870132695236
"Wisconsin",36.2432926052299,40.6135272009635,41.0339394455563,40.6158052723868,34.7529217923118,32.8282752963984,27.3962324393358,28.3009336961658,28.375445282081,27.8776535487366,25.5286445508946,32.0685782972464,32.481411952521,34.8534487802024,38.2825219950109,34.9351673383564,37.2377311522048,34.9559241927208,31.7521312322397,31.3261775924776,27.8686101719965,31.1684443699856,29.7812254859234,30.333878280215,31.4735578142704,35.1544062264624,35.12182654626,35.7008159884386,35.5656141498972,34.6878153740693,26.0875021569642,26.3628814614905,26.9959686761503,25.2311878790674,27.9244060475161,26.8653622948101,26.8392292205924,29.4980413592056,31.8813801178149,34.4569816643159,35.5368671739818,35.590868482579,32.5319008726561,29.6857020374089,27.5335962778394,25.6346404912721,26.8170877106157,10.9712120286046,21.2069769611043,28.2498522590927,35.169169030651,38.2923787609997,38.6094383789289,38.1660766366454,34.9947912492988
"Minnesota",42.1064893636086,47.7704514975413,48.9954733699316,47.5856892669502,42.763764995386,41.5194902253864,37.8833543762473,37.4343986005034,37.4933722163308,34.4854640683644,31.1649788391777,38.110414103314,38.0681818181818,39.6894973642033,43.8858858858858,40.3794200636369,43.0712723721364,40.9004580493799,37.1240117883706,36.4030195335806,33.3416521088095,35.7088915615472,32.3029796714007,33.0733547433348,34.8824714573539,38.215754508067,37.764756477798,38.0146073255464,38.4277075316107,33.1337779124987,32.0048187932938,31.2108134516733,30.6840917798305,27.2623041318102,29.2059838895281,27.3124157024206,28.1431082752783,31.1450474568021,33.7563830740287,37.4923813670004,39.6652042689567,39.4290076335877,35.7094189026962,34.1925788926135,30.5605283048892,28.0610967364994,27.3891661773341,11.9624680879281,24.022954679223,32.2983050847457,39.5875122151931,42.9020881435059,40.7679550375454,42.0622956142588,40.349655966373
"Colorado",35.9047864459189,41.4412036426026,42.5503657850309,42.1010397441335,39.8523488426886,38.2735542253853,34.7080083697926,31.4620125330156,30.9974788286249,29.8252617211141,27.0151636073423,33.4352873802582,34.5411983736943,34.3326011112546,37.8243027057105,34.0657404269739,36.4184438375268,35.0868885837397,30.7494213906183,29.6367490658235,26.3303789619579,28.3338239623196,26.2937628584993,27.7871558256433,28.9756299049979,32.3272554536485,32.1930542128355,32.8071353933422,33.3658803311982,31.724264406227,27.0135763862405,24.7430428151455,25.1376364499288,23.0233472938889,24.3333117401913,23.486077895456,24.2010418133183,26.7864534336782,29.3878544936874,32.801843663344,34.4443990855649,34.291761845883,30.6053049195193,27.8515768003765,26.13204559848,25.0565010211027,24.247765944424,10.6954917192518,19.6606561738881,24.9633532744344,30.7204589198777,33.3093525179856,32.8592238902601,32.0959986074544,27.6378154988442
"Alabama",33.6717591697286,37.9843959487618,38.4801369500379,39.6204055180075,36.3514043841453,35.0386448660248,33.0602016666335,28.888466974664,28.2253205061607,25.8135296961582,23.2109049602423,30.6297619722836,33.0341594105827,32.0823932940809,33.3366139794894,30.5945379374599,32.9006150209347,31.067821067821,28.3774415854503,29.1339604281543,27.1611786633531,29.7167804768834,27.7794394120663,29.6840067301265,30.7554086106519,33.5564774655855,32.2676651305683,31.5244049050252,31.510242500805,31.2830055826585,26.4689743472495,26.8948788531247,27.6425677351781,26.5032803773789,29.8488600020633,28.6980112999975,28.0191739006009,29.1500836021948,29.3582522212533,30.8309972917755,31.373508875892,31.50242772015,28.1224283931937,26.4498162609095,25.8303540537423,25.7365608666452,26.928119159856,9.3280400724714,19.7314519799726,26.8621866420342,31.7366474628292,32.1892765315028,32.6848437803221,32.4273072060682,30.3698593006924
"South Carolina",30.7658756822388,34.1765975873046,34.7431177001292,34.8559989668087,31.3977843389608,31.7495464731618,30.6701469670317,29.969405720553,28.6940772115974,26.3661392141049,23.7084653452384,30.7066851028014,31.7127955814704,30.0788636904845,31.687205645586,29.0240423797881,32.5313243457573,30.9871603271786,28.5032979824107,20.9881387475055,26.9635021599374,30.5064761969857,28.6477937687806,30.0516137681402,31.1841740576496,33.2568134352831,32.2678085964569,31.8061124476521,32.0852375970486,31.2991794852625,26.3148470691647,26.2603534226912,27.2120724504013,26.0939907550077,30.0938163136145,29.0808358741726,27.6857295563869,28.8465352783137,29.1671989925352,30.1203526529444,31.2313840817403,31.3587177309155,29.5438157045808,27.8173575129533,27.9607719822334,27.2491112934098,28.0906125006912,11.3900062572628,21.111934255638,27.0230589860955,31.9265992924009,33.280249264324,33.1232394366197,32.7128636657861,29.6713499877369
"Louisiana",28.4122342527463,32.4112192682082,33.5611681713512,34.738387709057,33.6488225940788,32.7647149223912,30.094313779204,28.0336858597728,27.7592644638053,26.0543723473406,23.3309117326552,28.714551183647,29.2844210029126,28.2526921374834,31.360782131786,28.6625690500272,30.2620121902952,29.0263951423024,27.5594952882926,28.459178957099,26.6042094455852,28.2787750791974,26.1375661375661,27.4934952298352,29.7889251965026,32.2147361147102,31.2044198895027,29.9104158309934,30.4163436545214,29.3993966541731,26.0129262313349,25.8468748408129,27.6769214045004,26.0747712971286,28.8433594885207,28.1097350372526,28.2643977770127,29.6081277213352,29.1077128293077,30.8667676003028,31.4695594869975,31.4004215479633,28.6102484472049,27.6500875842666,28.2346638092686,27.0797320656871,28.6779191736329,9.63009208678,20.1117592274888,25.6623248955517,31.0713240316128,32.4682870146218,32.2262251394166,32.6642335766423,30.5335255948089
"Kentucky",35.0492523142653,41.3465298877891,41.3807841349441,41.648727001349,38.2247673586256,36.957975699476,33.4528146668233,31.3335168027398,30.4436417523386,27.6696044271367,24.5228664025927,30.3958218801539,33.3269002784593,34.8443713149595,37.7054707915367,34.4884807921011,34.9382751410649,33.4630239691014,30.5613912231559,30.4432646795445,28.2078748336417,30.6416326530612,28.1588662617601,30.8188922867821,32.330111980365,35.3904953780516,34.8447896907837,35.8095354076599,35.844188143128,35.7575757575757,29.2261624199406,28.6575235365019,29.4216205348167,28.3589588986031,31.8089742802774,31.6695195011615,32.6049725388295,34.0544778719944,33.4335538184004,35.8110263623444,36.6352345204308,36.8769339174657,34.5016605939444,32.0496632996632,30.2874743326488,28.7781350482315,29.4291338582677,12.6012898958161,24.2165242165242,31.0949995332482,36.361734556648,38.4946497317287,38.1825308288358,39.0028059572631,36.5448178813365
"Oregon",38.6378295573651,43.3430338304838,43.7100591715976,44.0508518898477,41.1052093973442,39.9936974789915,36.8568420581054,35.8159860908791,36.4333373771685,32.5376735823614,29.8152004164497,35.4351946347864,36.2904632559994,35.7972345888394,38.3243375858684,33.7109356752464,38.6775922490208,37.7703384876986,34.2208917598865,31.6044816125227,29.6799384073911,32.5266242999332,29.8755656108597,30.3271812080536,30.1655518900759,32.9605734767025,32.5090538705296,34.6384385980452,34.6646661665416,34.1831157975953,28.5229558898597,27.3774464119291,27.6717865804365,25.4873529885613,27.4532492254861,25.7992269623956,25.4575763761311,28.4382821762613,30.6366619162827,33.4386140471574,35.0932086160331,35.3868534118204,31.6578826359166,29.0378077253922,28.1465589769476,27.3456543899304,26.8213251849469,11.6256546380658,20.5004468275245,27.3744525109497,34.3180149757744,37.1492506551246,37.6658469198773,37.8707272785193,35.3738599666418
"Oklahoma",30.7822468793342,35.2480122237627,36.6137595398739,35.9281927974206,33.2092193932401,32.019755925471,29.9842721189987,29.3967923805353,28.4633040056833,26.0773301652446,22.4601505283697,29.3458416425582,31.8329466357308,33.3399422194527,36.4467817537441,31.8844993217242,35.6012472055535,34.1383290419959,31.5527987714913,31.0751430468181,27.9254714837536,30.2956891116052,28.503882765531,30.0566050154676,31.2853312659495,34.5677419354838,33.9958509000869,34.2776786939223,34.4627982493293,33.4164499697217,28.9745813596637,28.1378462484152,28.6474105132386,27.2397519404032,30.798278075674,29.2243767313019,29.3871460805007,30.7275649986021,31.1030119653417,33.6412467070375,35.1478894173602,35.274647625423,32.2416974169741,29.3200841133055,28.5228993574264,27.8240898264715,28.5102294110581,12.4287776342779,23.6834253319409,29.6038069942452,34.3622927053498,35.5728555685898,35.5847065625903,36.3235512079442,31.3752421200915
"Connecticut",36.8683102826217,40.998023715415,41.9456393742039,41.9660691259386,39.4178864951612,40.1739757051677,37.5872684294431,34.7983212870132,32.5492614453939,29.557898415657,25.9209471861024,36.0208305514754,38.7409200968523,41.5745298047887,44.2502454090549,40.9658456007384,45.5002464268112,42.0610801115982,39.7921248298251,39.4831937593208,35.8626865671641,36.5648229275599,36.3838746881956,38.2665726006636,38.8129089388498,42.5834862385321,42.1584304170156,42.1734821614854,42.1745023520344,42.1311568649755,39.72526452571,36.3081485568467,33.8666473611814,32.4201407688142,35.6372353176188,34.1305655836341,35.0483221098306,38.0042996342518,39.5097148051357,39.5110052189698,42.5115785126404,42.6665485994273,41.3834453595885,36.9524876579951,36.0523517982182,33.008002393239,34.4305929919137,11.66462338905,28.6740780911062,37.3441168797286,44.3949651213673,47.182172174279,47.5666816463559,48.1758832565284,43.573614416865
