"RegionName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Arkansas",260,286,300,272,291,345,664,702,692,661,765,892,987,952,420,452,470,646,789,774,1034,1211,1190,1382,1219,1158,1119,1165,1326,1316,1434,1400,1506,1420,1812,2252,2034,1261,1612,1804,1990,1688,1680,1870,1477,1763,1594,1805,1713,1634,1790,1673,1640,1854,2114,2036,2242,2169
"Kansas",17,19,21,22,24,47,790,785,792,851,1177,1297,1446,1444,523,602,523,807,947,948,1037,1087,1018,1234,1384,1345,1349,1300,1469,1356,1558,1696,1861,1829,2401,2717,2423,1722,1973,2092,2542,2575,2164,1716,1689,1948,1640,1909,2148,1974,2340,2121,1943,2106,2198,2330,2539,2398
"Utah",15,33,40,43,44,46,551,563,562,578,678,731,768,777,328,385,408,675,806,1035,1085,1113,1073,1625,1926,2012,1969,2021,2029,1993,2284,2144,2132,2016,2247,2528,2230,1715,2059,2393,2846,2351,2581,1967,2111,2266,1891,2083,2044,2065,2602,2570,2460,2617,2558,2330,2413,2375
"Nevada",822,1209,1272,1295,1002,1249,2297,2422,2556,2605,3801,4606,4686,4410,3125,3822,3847,5432,6487,7021,7662,8173,7766,9074,9569,10289,10424,10969,11321,11548,12127,12103,12756,12285,13559,15480,14262,13135,13434,13724,15442,15870,14984,12524,13494,15000,11593,12585,12548,11721,11877,11251,10927,11788,11218,10867,11030,10291
"New Mexico",53,75,70,66,60,69,381,408,378,388,426,491,527,557,230,260,302,508,852,924,970,984,942,1115,1242,1276,1390,1520,1664,1766,1860,1758,1944,1905,2134,2411,2032,1656,1867,2100,2595,2352,2300,1859,2035,2510,1945,2303,2512,2294,2538,2540,2339,2710,2792,2613,2653,2618
"West Virginia",77,113,142,145,138,165,189,179,195,199,232,291,310,332,229,212,184,217,242,254,276,262,228,382,378,324,337,370,285,301,332,268,294,281,404,486,455,317,357,367,350,396,410,382,432,481,461,554,511,493,552,531,486,507,524,525,602,663
"Nebraska",14,18,26,23,18,32,447,477,541,570,705,729,687,813,325,321,267,310,364,394,407,446,491,546,543,529,620,518,725,848,923,884,1017,1015,1272,1678,1119,695,838,881,925,1068,1044,812,849,962,889,888,1012,1046,1542,1247,1236,1364,1577,1387,1251,1216
"Idaho",12,15,13,14,27,33,118,144,135,118,548,792,843,883,711,759,774,1131,1362,1426,1358,1332,1233,1291,1482,1631,1556,1613,1707,1804,1828,1909,1756,1523,1674,1911,1627,1264,1512,1865,2232,1999,1907,1578,1590,1845,1426,1594,1514,1439,1488,1673,1724,2058,1982,1895,1761,1646
"Hawaii",338,421,418,493,532,659,413,738,631,622,956,1189,1435,1889,1213,1298,1226,1195,1490,1616,1717,1832,1589,1645,1726,1775,1783,1836,1978,1981,1923,1712,1630,1539,1677,1778,1522,1509,1638,1751,1889,1870,1716,1479,1657,1808,1528,1601,1527,1324,1558,1550,1568,1574,1364,1302,1362,1323
"Maine",18,25,25,30,29,35,92,85,68,94,339,480,521,525,361,376,308,332,482,561,677,712,725,742,731,654,615,554,620,668,1092,1241,1254,1234,1182,1051,1077,509,830,622,708,677,679,637,689,1096,657,689,654,499,521,490,504,554,603,690,693,673
