"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"Goshen","MA","Springfield","Hampshire",9226,238500,0.00590468156895825,0.0192307692307692,0.106215213358071,0.01307633646635,0.015847275994253,"2014-11","2014-Q4",238500,0,"2014-11"
2014-11-30,"Potterville","MI","Lansing","Eaton",9227,92300,-0.00431499460625674,-0.0149413020277481,-0.0533333333333333,-0.020936482175834,-0.0352164535518873,"2005-06","2005-Q2",132500,-0.303396226415094,"2000-04"
2014-11-30,"Mendon","VT","Rutland","Rutland",9228,207100,0.00631681243926142,0.00876765708718948,0.00533980582524272,0.0104604440202842,-0.0181775183764067,"2005-07","2005-Q3",284700,-0.272567615033368,"2004-04"
2014-11-30,"Beulah","CO","Pueblo","Pueblo",9229,141800,-0.00281293952180028,-0.00769769069279216,-0.0247592847317744,-0.0144440653752202,0.00315709659601038,"2006-08","2006-Q3",167100,-0.151406343506882,"2005-02"
2014-11-30,"Eldorado","WI","Fond du Lac","Fond du Lac",9230,164300,-0.00604960677555959,-0.0196897374701671,0.0816326530612245,0.0225017164906749,0.0111195069647112,"2014-08","2014-Q3",167600,-0.0196897374701671,"2014-05"
2014-11-30,"Country Knolls","NY","Albany","Saratoga",9231,258800,0.00387897595034911,0.0105427567356501,0.00387897595034911,0.00209971520533192,0.0123969431876219,"2006-06","2006-Q2",275100,-0.059251181388586,"2005-08"
2014-11-30,"Happy Jack","AZ","Flagstaff","Coconino",9232,226200,0.00847079803834151,0.0328767123287671,0.110456553755523,-0.0221451010233957,0.0125890026432904,"2006-09","2006-Q3",288700,-0.216487703498441,"2005-06"
2014-11-30,"Belle Vernon","PA","Pittsburgh","Fayette",9233,55500,0.00180505415162455,-0.00179856115107914,-0.0331010452961672,0.000360750454630132,0.014835724522142,"2008-05","2008-Q2",66200,-0.161631419939577,"2007-10"
2014-11-30,"Ellport","PA","New Castle","Lawrence",9234,94900,0.0204301075268817,0.0405701754385965,0.0149732620320856,0.0198905135443612,,"2008-11","2008-Q4",100100,-0.051948051948052,"2008-08"
2014-11-30,"New Philadelphia","PA","Pottsville","Schuylkill",9235,50100,0.0121212121212121,0.120805369127517,0.281329923273657,0.051367683603317,0.0448730322400037,"2014-11","2014-Q4",50100,0,"2014-11"
2014-11-30,"Petersham","MA","Worcester","Worcester",9236,242500,0.00538971807628524,0.014219991635299,0.0787366548042705,0.00664594174039235,-0.00663769792179791,"2005-03","2005-Q1",263600,-0.0800455235204856,"2004-03"
2014-11-30,"Temple","NH","Manchester","Hillsborough",9237,231200,0.00434404865334492,0.00740740740740741,0.0140350877192982,-0.0101505544283453,-0.0133656867058464,"2005-08","2005-Q3",283000,-0.183038869257951,"2003-03"
2014-11-30,"Leetsdale","PA","Pittsburgh","Allegheny",9238,93100,0.0163755458515284,0.0543601359003398,0.253028263795424,0.0501333005891973,0.0449123039247565,"2014-11","2014-Q4",93100,0,"2014-11"
2014-11-30,"Suffield","CT","Hartford","Hartford",9239,273000,0.0025706940874036,-0.0169247389268995,0.0799050632911392,0.00810551804533111,0.00570620695966273,"2007-06","2007-Q2",284200,-0.0394088669950739,"2005-06"
2014-11-30,"Bay Head","NJ","New York","Ocean",9240,1077000,0.00083635349874547,0.00918290854572714,0.0712154366421325,-0.000759639955835389,0.0153413946599317,"2006-10","2006-Q4",1168700,-0.0784632497646958,"2005-08"
2014-11-30,"Denmark","TN","Jackson","Madison",9241,74300,0.00134770889487871,-0.0210803689064559,0.0305131761442441,-0.0104325299436313,0.00121944452889999,"2014-06","2014-Q2",84200,-0.117577197149644,"2014-02"
2014-11-30,"Sauk City","WI","Baraboo","Sauk",9242,164400,0.0024390243902439,0.00121802679658952,0.0129390018484288,0.0124991467243869,0.00353491864912292,"2008-05","2008-Q2",180800,-0.0907079646017699,"2005-08"
