"RegionName","State","Metro","CountyName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Freeport","IL","Freeport","Stephenson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440140845070422,0.440140845070422,,0.37593984962406,0.422297297297297,0.368550368550368,,,,,0.43859649122807,0.436854646544876,0.43859649122807,0.552777777777777,0.643086816720257,0.48076923076923,0.458295142071494,,0.429184549356223,,0.394736842105263,,0.424559111691704,0.428669410150891,
"Oakdale","CA","Modesto","Stanislaus",,,,,,,,,,,,,,,,,,,,,,0.735294117647058,0.748122472559214,,,0.769617706237424,,,0.79656862745098,,,,0.85,0.792440318302387,0.792079207920792,0.792079207920792,0.794117647058823,0.794117647058823,0.774706867671691,0.772222222222222,0.84375,0.779445727482678,0.84375,0.818806127839408,0.742264003133568,0.669383003492433,0.669383003492433,0.68689181453921,0.823305889803673,0.816326530612244,,,0.830721003134796,0.830721003134796,0.846075433231396,0.855222968845448,0.824679291386682,0.846075433231396
"Lexington","MA","Boston","Middlesex",,,,,,,1.73679498657117,1.76375404530744,1.76375404530744,1.76375404530744,1.76375404530744,1.69787234042553,1.73590504451038,1.75316990701606,1.84842105263158,1.81818181818182,1.71974522292994,1.71974522292994,1.9,,2.02145214521452,1.97511961722488,1.65094339622642,1.79933333333333,1.89522342064715,2.05501618122977,2.06808510638298,1.98297872340426,2,1.93827160493827,2.34042553191489,1.91933916423712,1.90909090909091,1.92943770672547,2.07407407407407,2.01276595744681,1.94362017804154,1.88933333333333,1.94655813130419,2.17090909090909,2.2254127781766,2.13364595545135,1.87353629976581,1.8,1.70103092783505,1.79259259259259,1.88383045525903,1.91746641074856,2.10161662817552,2.0037037037037,2.11038961038961,2.19387755102041,2.12895377128954,2.16450216450216,2.07142857142857,2.11316397228637,2.05736894164194,1.99335548172757
"Reedley","CA","Fresno","Fresno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841530054644808,0.97787610619469,0.964506172839506,0.964506172839506,0.880530973451327,0.8125,,,,,,,,,,,,,0.995575221238938,,,1.036866359447,1.036866359447,1.036866359447,1.036866359447,1.036866359447,0.995575221238938
"Sherwood","AR","Little Rock","Pulaski",,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,0.672371638141809,0.65079365079365,,0.658350658350658,0.6,0.683198380566801,0.658616904500548,0.658616904500548,0.638297872340425,0.674373795761078,0.638297872340425,0.660919540229885,0.699458483754512,0.64450474898236,0.662427133015368,0.644028103044496,0.621364357482813,0.613636363636363,0.615510874025441,0.634057971014492,0.616883116883116,0.616883116883116,0.564285714285714,0.666666666666666,0.699697428139183,0.694864048338368,0.690850277264325,0.686813186813186,0.686813186813186,0.659340659340659
"Rolla","MO","Rolla","Phelps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545454545454545,,,0.486486486486486,,,0.513333333333333,0.513333333333333,0.486486486486486,,,,,,,,,0.548387096774193,0.545454545454545,
"South Lyon","MI","Detroit","Oakland",,,,,,,0.859981078524124,0.863784665579119,0.859981078524124,0.859981078524124,0.859981078524124,0.85,0.831022530329289,0.829875518672199,0.789473684210526,0.811965811965811,,0.9,0.942737430167597,0.875,0.809523809523809,0.829875518672199,0.85980479148181,0.84090909090909,0.83406496927129,0.863657300783049,0.805555555555555,0.888888888888888,0.888888888888888,0.904159132007233,0.888888888888888,0.830188679245283,0.81,0.821111111111111,0.8125,0.8125,0.845308537616229,0.819142689371697,0.824884792626728,0.824884792626728,0.832222222222222,0.871313672922252,0.921658986175115,0.931232091690544,0.916666666666666,0.921658986175115,,,0.990491283676703,0.99728014505893,1.01482854494903,0.9375,0.921861281826163,1.00190839694656,0.974817221770917,0.994897959183673,0.951949229374433,0.972590627763041
"Glendale Heights","IL","Chicago","Du Page",,,,,,,1.10909090909091,1.10909090909091,1.10909090909091,1.13333333333333,1.13333333333333,1.13333333333333,1.07351984385166,1.07058823529412,1.04083266613291,1.09444444444444,1.05555555555555,1.06666666666667,1.16959064327485,1.13219094247246,1.16959064327485,1.19444444444444,1.13219094247246,1.183970856102,1.24888093106535,1.2,1.1015911872705,1.13240418118467,1.25786163522013,1.23076923076923,1.21538461538462,1.16598079561042,1.13519091847265,1.19496855345912,1.21527777777778,1.26306620209059,1.16279069767442,1.1340206185567,1.14401076716016,1.24642857142857,1.29285714285714,1.315,1.26201923076923,1.1808367071525,1.183970856102,1.18181818181818,1.17790414297319,1.17539026629936,1.17378917378917,1.24289772727273,1.38613861386139,1.28712871287129,1.36054421768707,1.23076923076923,1.19678714859438,1.272166538165,1.24289772727273,1.22065727699531
"Moss Point","MS","Pascagoula","Jackson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.672588832487309,0.676378772112382,,,0.681818181818181,,,,,,,,,,
"Sylvania","OH","Toledo","Lucas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794912559618441,0.729166666666666,,,,,,,,,,,,
