"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Clarksville","TN","Clarksville","Montgomery",174,968,-0.00411522633744856,-0.00411522633744856,0.00310880829015544,44942
2014-11-30,"Elk Grove","CA","Sacramento","Sacramento",175,1662,0.0103343465045593,0.0121802679658952,0.0322981366459627,45790
2014-11-30,"Pembroke Pines","FL","Miami-Fort Lauderdale","Broward",176,1852,-0.0059044551798175,-0.0043010752688172,0.0300333704115684,52393
2014-11-30,"Pueblo","CO","Pueblo","Pueblo",177,943,0.0216684723726977,0.0477777777777778,0.0283533260632497,50052
2014-11-30,"Springfield","MA","Springfield","Hampden",178,1246,0.00160771704180064,0.0435510887772194,0.117488789237668,28093
2014-11-30,"Fairfax","VA","Washington","Fairfax",179,2471,0.000404858299595142,0.00488003253355022,0.0164541341011929,43099
2014-11-30,"Peoria","AZ","Phoenix","Maricopa",180,1269,0.000788643533123028,0.00874403815580286,0.0610367892976589,51209
2014-11-30,"Lafayette","LA","Lafayette","Lafayette",181,1467,-0.0233022636484687,0.00548320767649075,0.12933025404157,39425
2014-11-30,"Boynton Beach","FL","Miami-Fort Lauderdale","Palm Beach",182,1783,0.00112296462661426,0.0119182746878547,0.0676646706586826,65262
2014-11-30,"Sugar Land","TX","Houston","Fort Bend",183,2128,0.0162368672397326,0.0360272638753651,0.0260366441658631,45052
2014-11-30,"Pomona","CA","Los Angeles","Los Angeles",184,1869,0.00809061488673139,0.0241095890410959,0.0607264472190692,25954
2014-11-30,"Paterson","NJ","New York","Passaic",185,1524,0.0086035737921906,0.0290344361917623,0.0228187919463087,18790
2014-11-30,"Lakewood","CO","Denver","Jefferson",186,1750,0.0269953051643192,0.0497900419916017,0.129761136216914,46789
2014-11-30,"Tyler","TX","Tyler","Smith",187,1196,0.00335570469798658,0.0187393526405451,0.0418118466898955,36302
2014-11-30,"Visalia","CA","Visalia","Tulare",188,1206,-0.000828500414250207,0.00416319733555371,0.005,37895
2014-11-30,"Torrance","CA","Los Angeles","Los Angeles",189,2724,0.00442477876106195,0.00405455215628456,0.0603347606072402,33143
2014-11-30,"Beaumont","TX","Beaumont","Jefferson",190,1057,0.0383104125736739,0.0580580580580581,0.183650615901456,40763
2014-11-30,"Kansas City","KS","Kansas City","Wyandotte",191,766,0.00261780104712042,0.0145695364238411,-0.0217113665389527,41633
2014-11-30,"Syracuse","NY","Syracuse","Onondaga",192,1097,0.00734618916437098,0.134436401240951,0.220244716351502,24183
2014-11-30,"Charleston","SC","Charleston","Charleston",193,1580,0.0121716848174247,0.0347085789129011,0.0784982935153584,50552
2014-11-30,"Dayton","OH","Dayton","Montgomery",194,675,0.00148367952522255,0.00148367952522255,0.0104790419161677,45433
2014-11-30,"Las Cruces","NM","Las Cruces","Dona Ana",195,964,-0.00515995872033024,-0.00720906282183316,-0.0340681362725451,39063
2014-11-30,"Bridgeport","CT","Stamford","Fairfield",196,1605,-0.0043424317617866,-0.0104808877928483,0.0087994971715902,23225
2014-11-30,"Pasadena","TX","Houston","Harris",197,1254,0.00561347233360064,0.0186839967506093,0.0555555555555556,30002
2014-11-30,"Canton","OH","Canton","Stark",198,829,0.0036319612590799,-0.00360576923076923,0.025990099009901,46699
2014-11-30,"Yuma","AZ","Yuma","Yuma",199,981,0.00512295081967213,0.011340206185567,-0.00203458799593082,29940
2014-11-30,"Salem","OR","Salem","Marion",200,1246,0.0213114754098361,0.0470588235294118,0.0815972222222222,37890
2014-11-30,"Hayward","CA","San Francisco","Alameda",201,2241,0.00583482944344704,0.0214220601640839,0.109405940594059,28568
2014-11-30,"Alexandria","VA","Washington","Alexandria City",202,2388,-0.00541441066222407,-0.00333889816360601,0.0231362467866324,40461
2014-11-30,"Hollywood","FL","Miami-Fort Lauderdale","Broward",203,1708,0.00411522633744856,0.00588928150765607,0.0351515151515151,49939
2014-11-30,"Newark","DE","Philadelphia","New Castle",204,1434,0.000697836706210747,0.00702247191011236,0.0301724137931034,34797
2014-11-30,"Sunnyvale","CA","San Jose","Santa Clara",205,3553,-0.0014052838673412,0.00594563986409966,0.131889136667729,27184
2014-11-30,"Eugene","OR","Eugene","Lane",206,1265,0.0242914979757085,0.0334967320261438,0.0201612903225806,38657
2014-11-30,"Hampton","VA","Virginia Beach","Hampton City",207,1221,0.000819672131147541,0.00909090909090909,0.0295109612141653,37321
2014-11-30,"Pasadena","CA","Los Angeles","Los Angeles",208,2543,0.00434439178515008,0.0139553429027113,0.0693860386879731,29517
2014-11-30,"Cumming","GA","Atlanta","Forsyth",209,1694,0.00118203309692671,0.0149790293588975,0.0348197923029933,41574
2014-11-30,"Mesquite","TX","Dallas-Fort Worth","Dallas",210,1236,0.00733496332518337,0.0172839506172839,0.0456852791878173,36377
2014-11-30,"Metairie","LA","New Orleans","Jefferson",211,1465,-0.021376085504342,-0.0233333333333333,0.0152460152460152,41378
2014-11-30,"Saginaw","MI","Saginaw","Saginaw",212,634,0.0376432078559738,0.0549084858569052,0.00475435816164818,48179
2014-11-30,"Odessa","TX","Odessa","Ector",213,1183,0.0322862129144852,0.0813528336380256,0.052491103202847,33156
2014-11-30,"Santa Maria","CA","Santa Barbara","Santa Barbara",214,1651,0.00303766707168894,0.0235585864848109,0.0797907128842381,27438
2014-11-30,"Round Rock","TX","Austin","Williamson",215,1617,0.00310173697270471,0.010625,0.066622691292876,35599
2014-11-30,"Inglewood","CA","Los Angeles","Los Angeles",216,2207,0.0147126436781609,0.051954242135367,0.0991035856573705,15887
